,VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type,p_lat,p_long,Pickup_longitude,Pickup_latitude,inside_zip
1,2,1/1/2016 0:29,1/1/2016 0:39,N,1,-73.92427826,40.69804382,1,1.46,8,0.5,0.5,1.86,0,0.3,11.16,1,1,40.68061066,-73.92864227,1004041.882,187249.2946,186
2,2,1/1/2016 0:19,1/1/2016 0:39,N,1,-73.92391968,40.76137924,1,3.56,15.5,0.5,0.5,0,0,0.3,16.8,2,1,40.72317505,-73.95267487,997367.7902,202752.2547,92
3,2,1/1/2016 0:19,1/1/2016 0:39,N,1,-74.01316071,40.64607239,1,3.79,16.5,0.5,0.5,4.45,0,0.3,22.25,1,1,40.6761055,-73.97161102,992124.5402,185601.1508,118
4,2,1/1/2016 0:22,1/1/2016 0:38,N,1,-74.0006485,40.68903351,1,3.01,13.5,0.5,0.5,0,0,0.3,14.8,2,1,40.66957855,-73.98950195,987162.2354,183222.0964,123
5,2,1/1/2016 0:24,1/1/2016 0:39,N,1,-73.9407196,40.66301346,1,2.55,12,0.5,0.5,0,0,0.3,13.3,2,1,40.6828537,-73.96472931,994032.4014,188060.4077,118
6,2,1/1/2016 0:32,1/1/2016 0:39,N,1,-73.86774445,40.74211121,1,1.37,7,0.5,0.5,0,0,0.3,8.3,2,1,40.74645615,-73.8911438,1014412.697,211249.4883,202
7,2,1/1/2016 0:34,1/1/2016 0:39,N,1,-73.88619232,40.74568939,1,0.57,5,0.5,0.5,0,0,0.3,6.3,2,1,40.74619675,-73.89667511,1012880.152,211153.1246,75
8,2,1/1/2016 0:31,1/1/2016 0:39,N,1,-73.94915009,40.79412079,1,1.01,7,0.5,0.5,0,0,0.3,8.3,2,1,40.80355835,-73.95335388,997163.9824,232038.435,49
9,2,1/1/2016 0:24,1/1/2016 0:39,N,1,-73.97157288,40.67972565,1,2.46,12,0.5,0.5,2,0,0.3,15.3,1,1,40.70281601,-73.99406433,985895.7777,195331.3509,109
10,2,1/1/2016 0:28,1/1/2016 0:39,N,1,-73.91754913,40.73965836,1,1.61,9,0.5,0.5,1.6,0,0.3,11.9,1,1,40.75664139,-73.91413116,1008039.549,214953.2194,72
11,2,1/1/2016 0:32,1/1/2016 0:39,N,1,-73.92102814,40.76312637,1,0.72,6,0.5,0.5,1.82,0,0.3,9.12,1,1,40.76182938,-73.91117859,1008855.629,216844.1879,72
12,2,1/1/2016 0:37,1/1/2016 0:39,N,1,-73.9627533,40.7181778,1,0.32,3.5,0.5,0.5,0.96,0,0.3,5.76,1,1,40.71532822,-73.95816803,995846.536,199892.6386,201
13,2,1/1/2016 0:21,1/1/2016 0:39,N,1,-73.92490387,40.84276581,1,3.54,14.5,0.5,0.5,0,0,0.3,15.8,2,1,40.80078506,-73.94667816,999012.771,231029.0847,49
14,2,1/1/2016 0:34,1/1/2016 0:39,N,1,-73.90240479,40.77583313,1,1.1,6,0.5,0.5,0,0,0.3,7.3,2,1,40.76343918,-73.91429138,1007992.738,217429.8325,72
15,2,1/1/2016 0:26,1/1/2016 0:39,N,1,-73.93202972,40.85019684,1,2.28,11,0.5,0.5,2,0,0.3,14.3,1,1,40.82431412,-73.94337463,999921.8495,239602.1309,37
16,2,1/1/2016 0:35,1/1/2016 0:39,N,1,-73.9668808,40.64015961,1,0.68,4.5,0.5,0.5,1.16,0,0.3,6.96,1,1,40.63215256,-73.96697998,993415.1359,169588.3271,9
17,2,1/1/2016 0:25,1/1/2016 0:38,N,1,-73.95158386,40.81186676,1,1.36,10,0.5,0.5,0,0,0.3,11.3,2,1,40.8144455,-73.93784332,1001455.267,236007.6745,46
18,2,1/1/2016 0:17,1/1/2016 0:39,N,1,-73.94774628,40.69332504,1,3.07,15.5,0.5,0.5,3,0,0.3,19.8,1,1,40.69051361,-73.99036407,986922.2375,190849.3143,109
19,2,1/1/2016 0:31,1/1/2016 0:39,N,1,-73.85552216,40.75156403,1,1.52,7.5,0.5,0.5,0,0,0.3,8.8,2,1,40.74755859,-73.88382721,1016439.499,211653.7489,202
20,2,1/1/2016 0:25,1/1/2016 0:39,N,1,-73.97694397,40.65963745,1,2.55,11.5,0.5,0.5,0,0,0.3,12.8,2,1,40.68441391,-73.98035431,989698.6469,188627.4794,117
21,2,1/1/2016 0:30,1/1/2016 0:39,N,1,-73.96281433,40.70994186,1,1.57,7.5,0.5,0.5,0,0,0.3,8.8,2,1,40.69345856,-73.94879913,998448.4109,191926.2473,102
22,2,1/1/2016 0:21,1/1/2016 0:39,N,1,-73.92461395,40.68474197,1,3.88,15,0.5,0.5,4.08,0,0.3,20.38,1,1,40.7134819,-73.96196747,994793.5589,199219.4903,261
23,2,1/1/2016 0:18,1/1/2016 0:39,N,1,-73.93619537,40.82068634,1,3.97,16.5,0.5,0.5,0,0,0.3,17.8,2,1,40.78827667,-73.9411087,1000557.804,226472.8326,54
24,2,1/1/2016 0:10,1/1/2016 0:39,N,1,-74.00469971,40.75218582,2,5.32,22.5,0.5,0.5,3,0,0.3,26.8,1,1,40.75258255,-73.93300629,1002811.419,213469.8908,77
25,2,1/1/2016 0:30,1/1/2016 0:40,N,1,-73.98239899,40.66192627,2,1.76,9,0.5,0.5,3.09,0,0.3,13.39,1,1,40.6780014,-73.98038483,989690.7062,186291.2164,117
26,2,1/1/2016 0:24,1/1/2016 0:39,N,1,-73.9440155,40.69841003,1,3.31,13.5,0.5,0.5,0,0,0.3,14.8,1,1,40.67269135,-73.97034454,992476.2577,184357.3934,118
27,2,1/1/2016 0:30,1/1/2016 0:39,N,1,-73.96799469,40.80305099,1,2.21,10,0.5,0.5,2.26,0,0.3,13.56,1,1,40.82109833,-73.94625854,999124.4063,238429.9993,37
28,2,1/1/2016 0:32,1/1/2016 0:39,N,1,-73.99742126,40.68388748,1,1.2,6.5,0.5,0.5,0,0,0.3,7.8,2,1,40.67759323,-73.98303986,988954.3033,186142.3536,117
29,2,1/1/2016 0:34,1/1/2016 0:39,N,1,-73.95746613,40.69071579,6,0.61,5,0.5,0.5,0,0,0.3,6.3,2,1,40.69238281,-73.94309998,1000029.087,191535.2971,102
30,2,1/1/2016 0:19,1/1/2016 0:39,N,1,-73.9600296,40.69048309,5,5.34,19.5,0.5,0.5,0,0,0.3,20.8,2,1,40.75413132,-73.94223022,1000255.444,214032.3367,77
31,2,1/1/2016 0:22,1/1/2016 0:39,N,1,-73.7598877,40.72090149,5,6.66,21,0.5,0.5,0,0,0.3,22.3,2,1,40.75947952,-73.83067322,1031159.152,216020.9226,64
32,2,1/1/2016 0:29,1/1/2016 0:40,N,1,-73.9312439,40.8139801,1,5.03,16,0.5,0.5,0,0,0.3,17.3,2,1,40.87561798,-73.90860748,1009524.632,258302.1977,20
